ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
21,11537,,โรงพยาบาลกลาง,,วัดเทพศิรินทร์,เขตป้อมปราบศัตรูพ่าย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
22,11538,,โรงพยาบาลนคราภิบาล,,ลาดกระบัง,เขตลาดกระบัง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
23,11539,,โรงพยาบาลตากสิน,,คลองสาน,เขตคลองสาน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
24,11540,,โรงพยาบาลหลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,,หนองแขม,เขตหนองแขม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
25,11541,,โรงพยาบาลเจริญกรุงประชารักษ์,,บางคอแหลม,เขตบางคอแหลม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
26,11543,,โรงพยาบาลมิชชั่นโรงพยาบาลทั่วไปขนาดใหญ่,,สี่แยกมหานาค,เขตดุสิต,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
28,11548,,โรงพยาบาลกรุงเทพคริสเตียนโรงพยาบาลทั่วไปขนาดใหญ่,,สุริยวงศ์,เขตบางรัก,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
29,11552,,โรงพยาบาลไอเอ็มเอช สีลม โรงพยาบาลทั่วไปขนาดใหญ่,,สุริยวงศ์,เขตบางรัก,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
30,11558,,โรงพยาบาลซีจีเอชโรงพยาบาลทั่วไปขนาดใหญ่,,อนุสาวรีย์,เขตบางเขน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
31,11559,,โรงพยาบาลศณิสา โรงพยาบาลทั่วไปขนาดเล็ก,,ทุ่งสองห้อง,เขตหลักสี่,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
32,11560,,โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
38,11582,,โรงพยาบาลทั่วไปขนาดใหญ่ศิครินทร์ กรุงเทพ,,บางนาใต้,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
39,11583,,โรงพยาบาลทั่วไปขนาดใหญ่กล้วยน้ำไท,,พระโขนง,เขตคลองเตย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
41,11592,,โรงพยาบาลทั่วไปขนาดใหญ่บางนา 1,,บางนาใต้,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
43,11597,,สถาบันกัลยาณ์ราชนครินทร์,,ทวีวัฒนา,เขตทวีวัฒนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมสุขภาพจิต
46,11603,,โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง,,สัมพันธวงศ์,เขตสัมพันธวงศ์,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
51,11614,,โรงพยาบาลรัชดา-ท่าพระ โรงพยาบาลทั่วไปขนาดเล็ก,,ตลาดพลู,เขตธนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
53,11616,,โรงพยาบาลสมิติเวช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่ ,,สำเหร่,เขตธนบุรี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
54,11621,,โรงพยาบาลบางไผ่โรงพยาบาลทั่วไปขนาดใหญ่,,ปากคลองภาษีเจริญ,เขตภาษีเจริญ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
55,11626,,โรงพยาบาลคลองตัน โรงพยาบาลทั่วไปขนาดเล็ก,,บางกะปิ,เขตห้วยขวาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
58,11629,,โรงพยาบาลเพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,,บางกะปิ,เขตห้วยขวาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
61,11637,,โรงพยาบาลทั่วไปขนาดเล็กนันอา,,สมเด็จเจ้าพระยา,เขตคลองสาน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
62,11640,,โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี ทวีวัฒนา,,ศาลาธรรมสพน์,เขตทวีวัฒนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
63,11641,,โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย,,บ้านช่างหล่อ,เขตบางกอกน้อย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
64,11644,,โรงพยาบาลทั่วไปเจ้าพระยาโรงพยาบาลทั่วไปขนาดใหญ่,,บ้านช่างหล่อ,เขตบางกอกน้อย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
66,11647,,โรงพยาบาลทั่วไปขนาดใหญ่ พีเอ็มจี,,แสมดำ,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
67,11648,,นครธนโรงพยาบาลทั่วไปขนาดใหญ่,,แสมดำ,เขตบางขุนเทียน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
68,11656,,โรงพยาบาลเกษมราษฎร์ บางแคโรงพยาบาลทั่วไปขนาดใหญ่,,บางแคเหนือ,เขตบางแค,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
69,11661,,โรงพยาบาลทั่วไปขนาดใหญ่วิชัยเวชอินเตอร์เนชั่นแนล หนองแขม,,หนองค้างพลู,เขตหนองแขม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
71,11667,,โรงพยาบาลไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,,บางปะกอก,เขตราษฎร์บูรณะ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
72,11668,,โรงพยาบาลสุขสวัสดิ์อินเตอร์โรงพยาบาลทั่วไปขนาดใหญ่,,บางปะกอก,เขตราษฎร์บูรณะ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
73,11669,,โรงพยาบาลทั่วไปขนาดใหญ่ราษฏร์บูรณะ,,บางปะกอก,เขตราษฎร์บูรณะ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
74,11670,,โรงพยาบาลบางปะกอก 1 โรงพยาบาลทั่วไปขนาดใหญ่,,บางปะกอก,เขตราษฎร์บูรณะ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
76,11676,,โรงพยาบาลยันฮีโรงพยาบาลทั่วไปขนาดใหญ่,,บางอ้อ,เขตบางพลัด,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
79,11686,,โรงพยาบาลบางโพ โรงพยาบาลทั่วไปขนาดใหญ่,,บางซื่อ,เขตบางซื่อ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
80,11687,,โรงพยาบาลทั่วไปขนาดใหญ่เกษมราษฎร์ประชาชื่น,,วงศ์สว่าง,เขตบางซื่อ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
82,11691,,วิภาวดี โรงพยาบาลทั่วไปขนาดใหญ่,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
85,11697,,โรงพยาบาลคามิลเลียนโรงพยาบาลทั่วไปขนาดใหญ่,,คลองตันเหนือ,เขตวัฒนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
87,11703,,โรงพยาบาลทั่วไปขนาดใหญ่แพทย์ปัญญา,,สวนหลวง,เขตสวนหลวง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
88,11704,,โรงพยาบาลสมิติเวช ศรีนครินทร์โรงพยาบาลทั่วไปขนาดใหญ่,,สวนหลวง,เขตสวนหลวง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
91,11708,,โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่,,บางมด,เขตจอมทอง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
92,11711,,โรงพยาบาลเฉพาะทางมะเร็งกรุงเทพขนาดเล็ก,,สามเสนใน,เขตพญาไท,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
96,11721,,โรงพยาบาลทั่วไปขนาดใหญ่ เปาโลโชคชัย 4,,ลาดพร้าว,เขตลาดพร้าว,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
97,11722,,โรงพยาบาลทั่วไปขนาดใหญ่ โรงพยาบาลมงกุฎวัฒนะ,,ทุ่งสองห้อง,เขตหลักสี่,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
100,11729,,โรงพยาบาลทั่วไปขนาดใหญ่ลาดพร้าว,,คลองเจ้าคุณสิงห์,เขตวังทองหลาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
101,11730,,โรงพยาบาลไทยนครินทร์ โรงพยาบาลทั่วไปขนาดใหญ่,,บางนาเหนือ,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
103,11750,,โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่,,คลองมหานาค,เขตป้อมปราบศัตรูพ่าย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน)
105,12243,,สถาบันพัฒนาสุขภาวะเขตเมือง,,อนุสาวรีย์,เขตบางเขน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมอนามัย
106,12244,,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,,สมเด็จเจ้าพระยา,เขตคลองสาน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมสุขภาพจิต
107,12246,,สถาบันราชานุกูล,,ดินแดง,เขตดินแดง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมสุขภาพจิต
109,12249,,สถาบันโรคผิวหนัง,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
110,12250,,สถาบันมะเร็งแห่งชาติ,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
113,12438,,สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
114,12439,,สถาบันประสาทวิทยา,,ทุ่งพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์
122,12463,,สถานีกาชาดที่ 11 วิเศษนิยม,,บางหว้า,เขตภาษีเจริญ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐพิเศษ,สังกัดสภากาชาดไทย
136,12499,,สำนักอนามัยกรุงเทพมหานคร,,ดินแดง,เขตดินแดง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
137,13646,,ศูนย์บริการสาธารณสุข1 สะพานมอญ,,วังบูรพาภิรมย์,เขตพระนคร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
138,13647,,ศูนย์บริการสาธารณสุข2 วัดมักกะสัน,,ถนนพญาไท,เขตราชเทวี,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
139,13648,,ศูนย์บริการสาธารณสุข3 บางซื่อ,,บางซื่อ,เขตบางซื่อ,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
140,13649,,ศูนย์บริการสาธารณสุข4 ดินแดง,,ดินแดง,เขตดินแดง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
141,13650,,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,,วังใหม่,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
142,13651,,ศูนย์บริการสาธารณสุข6 สโมสรวัฒนธรรมหญิง,,สี่แยกมหานาค,เขตดุสิต,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
143,13652,,ศูนย์บริการสาธารณสุข7 บุญมี ปุรุราชรังสรรค์,,บางโพงพาง,เขตยานนาวา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
144,13653,,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,,บางนา,เขตบางนา,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
145,13654,,ศูนย์บริการสาธารณสุข9  ประชาธิปไตย,,บ้านพานถม,เขตพระนคร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
146,13655,,ศูนย์บริการสาธารณสุข10 สุขุมวิท,,คลองตัน,เขตคลองเตย,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
147,13656,,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,,สามเสนใน,เขตพญาไท,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
148,13657,,ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,,บางโคล่,เขตบางคอแหลม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
149,13658,,ศูนย์บริการสาธารณสุข13 ไมตรีวานิช,,จักรวรรดิ,เขตสัมพันธวงศ์,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
150,13659,,ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,,วัดพระยาไกร,เขตบางคอแหลม,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
151,13660,,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,,สามเสนนอก,เขตห้วยขวาง,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
152,13661,,ศูนย์บริการสาธารณสุข16 ลุมพินี,,ลุมพินี,เขตปทุมวัน,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
153,13662,,ศูนย์บริการสาธารณสุข17 ประชานิเวศน์,,ลาดยาว,เขตจตุจักร,,กรุงเทพฯ,เขต 13 กรุงเทพมหานคร,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกรุงเทพมหานคร
